old	new	support	reference
ADurb.Bin120	Ca_Brevefilum	genome available	PMID=28690595
Acetothermia	Ca_Bipolaricaulota	genome available	PMID=29884828
Acetothermiia	Ca_Bipolaricaulia	genome available	PMID=29884828
Aegiribacteria	Ca_Fermentibacterota	first published genome	PMID=27058503
C10-SB1A	Caldilineales	genome available	PMID=30146409
Ca_Nitrotoga	Nitrotoga	has been isolated	PMID=29991589
Meganema	Neomegalonema	has been renamed	PMID=26203335
Meganema_perideroedes	Neomegalonema_perideroedes	has been renamed	PMID=26203335
Methanosaeta	Methanothrix	has been renamed	DOI=https://doi.org/10.1099/ijs.0.037366-0
Selenomonadales	Acidaminococcales	has been renamed	PMID=25999592
midas_f_1	Amarolineaceae	genome available	PMID=30146409
midas_g_1	Ca_Amarolinea	genome available	PMID=30146409
midas_g_5	Tetrasphaera	Manual curation	none
midas_s_9523	Ca_Microthrix_calida	has been isolated	PMID=16913916
midas_o_9558	Ca_Bipolaricaulales	genome available	PMID=29884828
midas_f_9558	Ca_Bipolaricaulaceae	genome available	PMID=29884828
midas_g_9558	Ca_Bipolaricaulis	genome available	PMID=29884828
midas_s_9558	Ca_Bipolaricaulis_anaerobius	genome available	PMID=29884828
midas_s_9529	Ca_Brocadia_sapporoensis	genome available	PMID=27932661
midas_s_9543	Ca_Brocadia_sinica	genome available	PMID=25883286
midas_s_9546	Ca_Nitrospira_inopinata	genome available	PMID=26610024 
midas_s_9559	Ca_Brocadia_caroliniensis	genome available	PMID=28088723
midas_s_3	Ca_Microthrix_parvicella	Genome available	PMID=23446830
midas_c_18	Ca_Fermentibacteria	Genome available	PMID=27058503
midas_o_18	Ca_Fermentibacterales	Genome available	PMID=27058503
midas_f_18	Ca_Fermentibacteraceae	Genome available	PMID=27058503
midas_g_18	Ca_Fermentibacter	Genome available	PMID=27058503
midas_s_18	Ca_Fermentibacter_daniensis	Genome available	PMID=27058503
midas_s_48	Nitrospira_defluvii	Genome available	PMID=20624973
midas_s_127	Ca_Competibacter_denitrificans	Genome available	PMID=24173461
midas_s_211	Ca_Nitrospira_nitrosa	Genome available	PMID=26610025
midas_s_234	Ca_Brevefilum_fermentans	Genome available	PMID=28690595
midas_f_176	Ca_Promineofilaceae	Genome available	PMID=26905629
midas_g_176	Ca_Promineofilum	Genome available	PMID=26905629
midas_s_658	Ca_Promineofilum_breve	Genome available	PMID=26905629
midas_f_57	Rhodobacteraceae	The genus was renamed	PMID=26203335
midas_s_728	Ca_Saccharimonas_aalborgensis	Genome available	PMID=23707974
midas_s_866	Ca_Contendobacter_odensis	Genome available	PMID=24173461
midas_s_1030	Ca_Defluviicoccus_seviourii	Genome available	PMID=30476038
midas_s_2676	Ca_Accumulibacter_aalborgensis	Genome available	PMID=27458436
midas_s_2048	Ca_Propionivibrio_aalborgensis	Genome available	PMID=27458436
midas_s_2372	Ca_Amarolinea_aalborgensis	Genome available	PMID=30146409
midas_s_368	Ca_Accumulibacter_phosphatis	Genome available	PMID=16998472
midas_g_6	midas2_QEDR3BF09	Genus support (>94.5% id) for 6/6 (100%) MiDAS2 seqs in MiDAS3	PMID=28365734
midas_g_7	midas2_ML1228J-1	Genus support (>94.5% id) for 2/2 (100%) MiDAS2 seqs in MiDAS3	PMID=28365734
midas_g_12	midas2_KD1-22	Genus support (>94.5% id) for 8/8 (100%) MiDAS2 seqs in MiDAS3	PMID=28365734
midas_g_13	midas2_B55_F	Genus support (>94.5% id) for 15/15 (100%) MiDAS2 seqs in MiDAS3	PMID=28365734
midas_g_16	midas2_G35_D8	Genus support (>94.5% id) for 1/1 (100%) MiDAS2 seqs in MiDAS3	PMID=28365734
midas_g_17	midas2_Ca_Epiflobacter	Genus support (>94.5% id) for 24/24 (100%) MiDAS2 seqs in MiDAS3	PMID=28365734
midas_g_19	midas2_SHA-94	Genus support (>94.5% id) for 11/13 (84.62%) MiDAS2 seqs in MiDAS3	PMID=28365734
midas_g_20	midas2_QEDR3BF09	Genus support (>94.5% id) for 4/4 (100%) MiDAS2 seqs in MiDAS3	PMID=28365734
midas_g_23	midas2_CYCU-0281	Genus support (>94.5% id) for 33/33 (100%) MiDAS2 seqs in MiDAS3	PMID=28365734
midas_g_31	midas2_K2-30-37	Genus support (>94.5% id) for 33/33 (100%) MiDAS2 seqs in MiDAS3	PMID=28365734
midas_g_32	midas2_Terrimonas	Genus support (>94.5% id) for 1/1 (100%) MiDAS2 seqs in MiDAS3	PMID=28365734
midas_g_33	midas2_188up	Genus support (>94.5% id) for 13/17 (76.47%) MiDAS2 seqs in MiDAS3	PMID=28365734
