"ESV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ESV1.1445","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Ca_Microthrix","denovo_s_1"
"ESV2.1445","Bacteria","Firmicutes","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","denovo_g_2","denovo_s_2"
"ESV3.1445","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Ca_Microthrix","denovo_s_3"
"ESV4.1489","Bacteria","Fermentibacterota","Fermentibacteria","Fermentibacterales","Fermentibacteraceae","denovo_g_4","denovo_s_4"
"ESV5.1463","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobium","denovo_s_5"
"ESV6.1457","Bacteria","Firmicutes","Clostridia","Hungateiclostridiaceae","Fastidiosipila","denovo_g_6","denovo_s_6"
"ESV7.1445","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","ST-12K33","denovo_g_7","denovo_s_7"
"ESV8.1456","Bacteria","Firmicutes","Clostridia","Hungateiclostridiaceae","Fastidiosipila","denovo_g_6","denovo_s_6"
"ESV9.1439","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","denovo_g_9","denovo_s_9"
"ESV10.1449","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","denovo_g_10","denovo_s_10"
"ESV11.1455","Bacteria","Firmicutes","D8A-2","denovo_o_11","denovo_f_11","denovo_g_11","denovo_s_11"
"ESV12.1440","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propioniciclava","denovo_s_12"
"ESV13.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV14.1455","Bacteria","Firmicutes","D8A-2","denovo_o_11","denovo_f_11","denovo_g_11","denovo_s_11"
"ESV15.1445","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Ca_Microthrix","denovo_s_1"
"ESV16.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV17.1442","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","denovo_s_17"
"ESV18.1476","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Thermoanaerobaculum","denovo_s_18"
"ESV19.1442","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera","denovo_s_19"
"ESV20.1524","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","Ca_Cloacimonas","denovo_s_20"
"ESV21.1452","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","denovo_f_21","denovo_g_21","denovo_s_21"
"ESV22.1482","Bacteria","Desulfobacterota","Syntrophorhabdia","Syntrophorhabdales","Syntrophorhabdaceae","Syntrophorhabdus","denovo_s_22"
"ESV23.1451","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Williamwhitmaniaceae","denovo_g_23","denovo_s_23"
"ESV24.1500","Bacteria","Verrucomicrobiota","Verrucomicrobiae","LD1-PB3","denovo_f_24","denovo_g_24","denovo_s_24"
"ESV25.1452","Bacteria","Firmicutes","denovo_c_2","DTU014","denovo_f_25","denovo_g_25","denovo_s_25"
"ESV26.1446","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","DMER64","denovo_s_26"
"ESV27.1438","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Clostridium_saudiense"
"ESV28.1444","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29_marine_group","denovo_s_28"
"ESV29.1485","Bacteria","Desulfobacterota","Syntrophia","Syntrophales","Smithellaceae","Smithella","denovo_s_29"
"ESV30.1458","Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Pelotomaculum","denovo_g_30","denovo_s_30"
"ESV31.1417","Bacteria","Chloroflexi","Anaerolineae","C10-SB1A","denovo_f_31","denovo_g_31","denovo_s_31"
"ESV32.1455","Bacteria","Firmicutes","D8A-2","denovo_o_11","denovo_f_11","denovo_g_11","denovo_s_32"
"ESV33.1445","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","ST-12K33","denovo_g_7","denovo_s_7"
"ESV34.1502","Bacteria","Verrucomicrobiota","Verrucomicrobiae","LD1-PB3","denovo_f_24","denovo_g_24","denovo_s_34"
"ESV35.1412","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","denovo_f_35","denovo_g_35","denovo_s_35"
"ESV36.1447","Bacteria","Bacteroidota","Bacteroidia","Bacteroidetes_VC2.1_Bac22","denovo_f_7","denovo_g_36","denovo_s_36"
"ESV37.1442","Bacteria","Firmicutes","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","denovo_g_37","denovo_s_37"
"ESV38.1425","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","denovo_g_38","denovo_s_38"
"ESV39.1496","Bacteria","Caldatribacteriota","Caldatribacteriia","Caldatribacteriales","Caldatribacteriaceae","Ca_Caldatribacterium","denovo_s_39"
"ESV40.1450","Bacteria","Firmicutes","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","denovo_g_40","denovo_s_40"
"ESV41.1446","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","DMER64","denovo_s_41"
"ESV42.1387","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter","denovo_s_42"
"ESV43.1454","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Acetomicrobium","denovo_s_43"
"ESV44.1434","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","denovo_s_44"
"ESV45.1462","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobium","denovo_s_45"
"ESV46.1442","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera","denovo_s_46"
"ESV47.1438","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Clostridium_saudiense"
"ESV48.1464","Bacteria","Firmicutes","denovo_c_2","DTU014","denovo_f_48","denovo_g_48","denovo_s_48"
"ESV49.1472","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","W5","denovo_s_49"
"ESV50.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV51.1460","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas","denovo_s_51"
"ESV52.1454","Bacteria","Firmicutes","D8A-2","denovo_o_11","denovo_f_11","denovo_g_11","denovo_s_11"
